Week Starting,Landing Page Views,Free Downloads,Download Rate %,Target: 20-30%,Trial Signups,Trial Rate %,Target: 15-20%,Paid Conversions,Paid Rate %,Target: 15-20%,Active Members,D30 Retention %,Target: 18-24%,MRR,Notes
2025-10-14,,,=C2/B2*100,25%,,=F2/C2*100,17.5%,,=I2/F9*100,17.5%,,=L2/L9*100,21%,=$14.99*L2,
2025-10-21,,,=C3/B3*100,25%,,=F3/C3*100,17.5%,,=I3/F10*100,17.5%,,=L3/L10*100,21%,=$14.99*L3,
2025-10-28,,,=C4/B4*100,25%,,=F4/C4*100,17.5%,,=I4/F11*100,17.5%,,=L4/L11*100,21%,=$14.99*L4,
2025-11-04,,,=C5/B5*100,25%,,=F5/C5*100,17.5%,,=I5/F12*100,17.5%,,=L5/L12*100,21%,=$14.99*L5,
2025-11-11,,,=C6/B6*100,25%,,=F6/C6*100,17.5%,,=I6/F13*100,17.5%,,=L6/L13*100,21%,=$14.99*L6,
2025-11-18,,,=C7/B7*100,25%,,=F7/C7*100,17.5%,,=I7/F14*100,17.5%,,=L7/L14*100,21%,=$14.99*L7,
2025-11-25,,,=C8/B8*100,25%,,=F8/C8*100,17.5%,,=I8/F15*100,17.5%,,=L8/L15*100,21%,=$14.99*L8,
2025-12-02,,,=C9/B9*100,25%,,=F9/C9*100,17.5%,,=I9/F16*100,17.5%,,=L9/L16*100,21%,=$14.99*L9,
2025-12-09,,,=C10/B10*100,25%,,=F10/C10*100,17.5%,,=I10/F17*100,17.5%,,=L10/L17*100,21%,=$14.99*L10,
2025-12-16,,,=C11/B11*100,25%,,=F11/C11*100,17.5%,,=I11/F18*100,17.5%,,=L11/L18*100,21%,=$14.99*L11,
2025-12-23,,,=C12/B12*100,25%,,=F12/C12*100,17.5%,,=I12/F19*100,17.5%,,=L12/L19*100,21%,=$14.99*L12,
2025-12-30,,,=C13/B13*100,25%,,=F13/C13*100,17.5%,,=I13/F20*100,17.5%,,=L13/L20*100,21%,=$14.99*L13,
